"date","poll","biden","trump","spread","sample","moe"
2020-05-01,"CNBC",47,44,"Biden +3","1489 LV","2.5"
2020-04-30,"Monmouth",50,41,"Biden +9","739 RV","3.6"
2020-04-28,"CBS News/YouGov",49,43,"Biden +6","1671 LV","2.5"
2020-04-26,"IBD/TIPP",43,43,"Tie","948 RV","3.3"
2020-04-26,"Emerson",48,42,"Biden +6","1200 RV","2.8"
2020-04-26,"Economist/YouGov",47,41,"Biden +6","1222 RV","3.2"
2020-04-21,"USA Today/Suffolk",50,40,"Biden +10","1000 RV","3.0"
2020-04-19,"Economist/YouGov",48,42,"Biden +6","1144 RV","3.4"
2020-04-19,"The Hill/HarrisX",42,40,"Biden +2","958 RV","3.2"
2020-04-13,"NBC News/Wall St. Jrnl",49,42,"Biden +7","900 RV","3.3"
2020-04-14,"Harvard-Harris",53,47,"Biden +6","LV","--"
2020-04-12,"Economist/YouGov",48,43,"Biden +5","1166 RV","3.4"
2020-04-03,"Monmouth",48,44,"Biden +4","743 RV","3.6"
2020-04-04,"FOX News",42,42,"Tie","1107 RV","3.0"
2020-04-05,"Economist/YouGov",48,42,"Biden +6","1147 RV","3.3"
2020-04-03,"CNBC",44,39,"Biden +5","604 RV","4.0"
2020-04-03,"CNN",53,42,"Biden +11","875 RV","3.9"
2020-04-02,"Quinnipiac",49,41,"Biden +8","2077 RV","2.2"
2020-03-29,"IBD/TIPP",47,41,"Biden +6","980 RV","3.2"
2020-03-29,"Economist/YouGov",46,42,"Biden +4","1194 RV","3.2"
2020-03-27,"Grinnell/Selzer",47,43,"Biden +4","777 LV","3.5"
2020-03-24,"Harvard-Harris",55,45,"Biden +10","2410 RV","2.0"
2020-03-22,"ABC News/Wash Post",49,47,"Biden +2","845 RV","3.5"
2020-03-22,"Economist/YouGov",46,42,"Biden +4","1170 RV","3.4"
2020-03-21,"FOX News",49,40,"Biden +9","1011 RV","3.0"
2020-03-18,"Monmouth",48,45,"Biden +3","754 RV","3.6"
2020-03-18,"Emerson",53,47,"Biden +6","1100 RV","2.9"
2020-03-15,"Economist/YouGov",48,41,"Biden +7","1129 RV","3.5"
2020-03-11,"NBC News/Wall St. Jrnl",52,43,"Biden +9","900 RV","3.3"
2020-03-08,"Economist/YouGov",47,43,"Biden +4","1191 RV","2.9"
2020-03-04,"CNN",53,43,"Biden +10","1084 RV","3.5"
2020-03-05,"Quinnipiac",52,41,"Biden +11","1261 RV","2.8"
2020-02-26,"Harvard-Harris",55,45,"Biden +10","2592 RV","--"
2020-02-20,"IBD/TIPP",49,46,"Biden +3","839 RV","3.5"
2020-02-23,"FOX News",49,41,"Biden +8","1000 RV","3.0"
2020-02-20,"CBS News/YouGov",47,45,"Biden +2","10000 RV","1.2"
2020-02-14,"ABC News/Wash Post",52,45,"Biden +7","913 RV","4.0"
2020-02-16,"Emerson",48,52,"Trump +4","1250 RV","2.7"
2020-02-14,"NBC News/Wall St. Jrnl",52,44,"Biden +8","900 RV","3.3"
2020-02-13,"NPR/PBS/Marist",50,44,"Biden +6","1164 RV","3.7"
2020-02-05,"Quinnipiac",50,43,"Biden +7","1519 RV","2.5"
2020-01-26,"NBC News/Wall St. Jrnl",50,44,"Biden +6","1000 RV","3.1"
2020-01-23,"IBD/TIPP",49,48,"Biden +1","856 RV","3.3"
2020-01-21,"Emerson",50,50,"Tie","1128 RV","2.8"
2020-01-20,"ABC News/Wash Post",50,46,"Biden +4","880 RV","4.0"
2020-01-15,"LA Times/USC",49,40,"Biden +9","4869 RV","2.0"
2020-01-19,"FOX News",50,41,"Biden +9","1005 RV","3.0"
2020-01-16,"CNN",53,44,"Biden +9","1051 RV","3.6"
2020-01-03,"IBD/TIPP",48,46,"Biden +2","846 RV","3.3"
